rank,restaurant name,general rating,number of reviews,tags,address,phone number,website url,menu url,timetable,email address,travelers choice,michelin,food rating,service rating,value rating,atmosphere rating,description,dutch description,price range,cuisines,special diets,meals,restaurant features,id
#9,'t Klaverblad,4.5 of 5 bubbles,790 reviews,$$ - $$$|Vegetarian Friendly|Gluten Free Options,"Corduwaniersstraat 61, Ghent 9000 Belgium",+32 9 225 61 17,http://www.restoklaverblad.be/,,True,restklaver@telenet.be,True,False,4.5,4.5,4.5,4.5,,,No pricing available,,"Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",740670
#10,Oak Restaurant,4.5 of 5 bubbles,569 reviews,$$$$|Belgian|European|Vegetarian Friendly,"Hoogstraat 167/001, Ghent 9000 Belgium",+32 9 353 90 50,http://www.oakgent.be/,http://www.oakgent.be/cat.php?hcat=Over%20Oak&hc=1554&cat=Menu&cc=98,True,info@oakgent.be,True,True,5.0,4.5,4.5,4.0,,,€39 - €95,"Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Outdoor Seating, Serves Alcohol, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Gift Cards Available, Reservations, Seating, Accepts Credit Cards, Table Service",6943054
#1,Wybo,5.0 of 5 bubbles,74 reviews,$$ - $$$|Belgian|Dutch|Seafood,"Staatsbaan 29, Zulte 9870 Belgium",+32 493 86 57 51,http://restaurantwybo.be/,https://www.restaurantwybo.be/nl/wybo/a-la-carte,True,info@restaurantwybo.be,False,False,5.0,5.0,4.5,-1.0,Wereldse keuken In ons restaurant kan je terecht voor een unieke ervaring wat betreft culinaire gerechten aan een democratische prijs. Wij werken enkel en alleen met lokale leveranciers en verse producten. Het eten wordt klaargemaakt en aan tafel gebracht met passie. Ook onze locatie is een troef! Het klein kasteeltje beschikt over twee zalen en een ruim terras.,,€20 - €55,"Belgian, Seafood, European, Healthy, Dutch",Vegetarian Friendly,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service",21182656
#1,Brasserie 't Heerehuys,4.5 of 5 bubbles,348 reviews,$$ - $$$|Belgian|Dutch|European,"Casinostraat 41, Sint-Niklaas 9100 Belgium",+32 3 766 75 05,http://www.theerehuys.be/,https://www.theerehuys.be/brasserie/menu-theerehuys/#menutheerehuys,True,info@theerehuys.be,False,False,4.5,4.5,4.5,4.5,,,€15 - €32,"Belgian, Dutch, European, Central European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Mastercard, Accepts Visa, Digital Payments, Accepts Credit Cards, Table Service, Free off-street parking, Highchairs Available, Wine and Beer, Free Wifi, Family style, Gift Cards Available",6959268
#1,Hof van Cleve,5.0 of 5 bubbles,472 reviews,$$$$|Belgian|European|Vegetarian Friendly,"Riemegemstraat 1, Kruishoutem 9770 Belgium",+32 9 383 58 48,http://hofvancleve.com/,https://www.hofvancleve.com/nl/menus,False,info@hofvancleve.com,False,True,5.0,5.0,4.5,4.5,,,€126 - €260,"Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service",967590
#1,Benoit & Bernard Dewitte,4.5 of 5 bubbles,231 reviews,$$$$|French|Belgian|Seafood,"Beertegemstraat 52, Huise 9750 Belgium",+32 9 384 56 52,http://benoitdewitte.be/en/home-3/,http://benoitdewitte.be/en/home-3/#menu,True,info@benoitdewitte.be,False,True,4.5,4.5,4.5,4.5,,"Benoit & Bernard Dewitte willen meer zijn dan een restaurant, een inspirerende plek van verpozing. U dineert er in een pittoreske, poëtische context en op een zeemzoete zomerdag waant u zich bijna in het zuiden van Frankrijk. Benoit & Bernard Dewitte streven ernaar om zuivere smaken en geuren in al hun eigenheid en finesse om te zetten naar een verfrissende culinaire ervaring, geniaal in zijn eenvoud. Want schuilt echte klasse niet in imposante impact met weinig ingrediënten? Het is in elk geval waar de broers Dewitte naar streven: pure gastronomie die uitblinkt in oprechte transparantie. Het restaurant wordt geprezen om de uitstekende kwaliteit van het basisproduct, de onberispelijke versheid van de ingrediënten en de verfijnde aroma’s en texturen.",No pricing available,"French, Belgian, Seafood, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Validated Parking, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",2602975
#1,Kelderman,4.5 of 5 bubbles,277 reviews,$$$$|Belgian|Seafood|European,"Parklaan 4, Aalst 9300 Belgium",+32 53 77 61 25,http://www.visrestaurant-kelderman.be/nl/introductie/,,True,info@visrestaurant-kelderman.be,True,True,4.5,5.0,4.5,4.5,,,No pricing available,"Belgian, Seafood, European","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Parking Available, Validated Parking, Wheelchair Accessible, Serves Alcohol, Table Service",740625
#11,A Food Affair,4.5 of 5 bubbles,254 reviews,$$ - $$$|Asian|Thai|Vietnamese,"Hoogstraat 58, Ghent 9000 Belgium",+32 9 224 18 05,http://www.afoodaffair.be/,https://www.afoodaffair.be/menu/,True,,False,True,4.5,4.5,4.5,4.0,,,€40 - €80,"Vietnamese, Asian, Thai","Vegan Options, Vegetarian Friendly",Dinner,"Full Bar, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service",784367
#12,Restaurant Toi et Moi,4.5 of 5 bubbles,249 reviews,$$ - $$$|Belgian|International|Contemporary,"Sint-Michielsstraat 31, Ghent 9000 Belgium",+32 9 225 86 33,http://www.restotoietmoi.be/#!/home,http://www.restotoietmoi.be/#maandmenu-1,True,,True,False,4.5,4.5,4.5,4.5,,,€30 - €60,"Belgian, International, Contemporary","Vegan Options, Gluten Free Options",Dinner,"Reservations, Seating, Serves Alcohol, Table Service",1072090
#1,Maison-D,4.5 of 5 bubbles,279 reviews,$$$$|French|Belgian|European,"Charles Vandendoorenstraat 10, Ronse 9600 Belgium",+32 55 60 74 65,http://www.maison-d.be/,https://www.maison-d.be/menu-maison-d/,True,info@maison-d.be,True,True,4.5,4.5,4.5,4.0,,,No pricing available,"French, Belgian, European, Contemporary",Vegetarian Friendly,"Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",3792504
#13,BOON,5.0 of 5 bubbles,130 reviews,$$ - $$$|International|Contemporary|Healthy,"Geldmunt 6 Vlakbij Gravensteen, centrum Gent, Ghent 9000 Belgium",+32 477 77 01 81,http://www.boon.gent/,https://www.boon.gent/zomermenu,True,sara@boon.gent,False,False,5.0,5.0,5.0,-1.0,"You visit BOON for a swift, delicious lunch in the fantastic atmosphere of the former Veneziana, near the Gravensteen, in the centre of Ghent. We serve different salads with vegetarian spreads, and a delicious soup of the day. You may also like the homemade cakes with coffee or tea. You could also enjoy one of our superb biological wines. Enjoy our quiet and sunny courtyard","Bij BOON kan je terecht voor een snelle, heerlijke lunch in het fantastische kader van de voormalige Veneziana. We serveren verschillende salades met vegetarische spreads, telkens met een knipoog naar de boon en een heerlijke dagsoep. Uiteraard kunt bij BOON ook terecht voor een heerlijk stuk zelfgebakken taart met koffie of thee. U kan ook onze uitstekende biologische wijnen proeven.",€5 - €18,"International, Healthy, Gastropub, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",Lunch,"Gift Cards Available, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Takeout, Outdoor Seating, Wine and Beer, Digital Payments, Family style, Non-smoking restaurants",12902687
#2,Da Vinci,4.5 of 5 bubbles,190 reviews,$$ - $$$|French|Belgian|Seafood,"Koning Albertstraat 29, Dendermonde 9200 Belgium",+32 475 92 58 35,http://www.davincirestaurant.be/,https://davincirestaurant.be/chefs-culina-menu/,True,info@davincirestaurant.be,False,True,4.5,4.5,4.5,4.5,Superb dining. Absolutely worth mentioning!!!,Bekijk onze take away menu tijdens de Lockdown en dit vanaf 1 mei! Zie www.davincirestaurant.be/chefs-culina-menu/,€26 - €59,"French, Belgian, European, Seafood","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Outdoor Seating, Seating, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Table Service, Accepts Credit Cards",2720670
#2,Portobelfino,4.5 of 5 bubbles,400 reviews,$$ - $$$|French|Belgian|International,"Houtbriel 24, Sint-Niklaas 9100 Belgium",+32 3 777 19 29,http://www.portobelfino.be/,https://www.portobelfino.be/menu/,True,portobelfino@gmail.com,True,False,4.5,4.5,4.5,4.5,,,€100 - €250,"French, Belgian, European, Fusion, International","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Outdoor Seating, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",4439470
#1,De Vijf Seizoenen,4.5 of 5 bubbles,174 reviews,$$ - $$$|Belgian|Dutch|Seafood,"Kasteelstraat 5, Brakel 9660 Belgium",+32 55 42 84 48,http://www.devijfseizoenen.be/,,True,,False,True,4.5,4.5,4.5,4.5,,,No pricing available,"Belgian, Dutch, Seafood, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",1057733
#14,Allegro Moderato,4.5 of 5 bubbles,706 reviews,$$$$|French|Belgian|European,"Korenlei 7, Ghent 9000 Belgium",+32 9 233 23 32,http://www.restoallegro.com/,,True,,False,False,4.5,4.5,4.5,4.5,,,No pricing available,"French, Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Private Dining, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",740681
#15,Vrijmoed,4.5 of 5 bubbles,603 reviews,$$$$|Belgian|European|Vegetarian Friendly,"Vlaanderenstraat 22, Ghent 9000 Belgium",+32 9 279 99 77,http://vrijmoed.be/en/,http://vrijmoed.be/en/menu,True,info@vrijmoed.be,True,True,4.5,4.5,4.5,4.0,,,No pricing available,"Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service",4014169
#1,Carpe Diem,5.0 of 5 bubbles,172 reviews,$$ - $$$|French|Belgian|Dutch,"Dorpsstraat 147, Sint-Laureins 9980 Belgium",+32 495 32 87 68,http://www.restaurant-carpediem.be/,http://www.restaurant-carpediem.be/,True,info@restaurant-carpediem.be,True,False,5.0,5.0,4.5,4.5,"One Of My Favourite Restaurants, Surprised It's Not Listed Yet.",,No pricing available,"French, Belgian, Dutch, Seafood, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night","Reservations, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",3351157
#16,Du Progres,4.5 of 5 bubbles,"2,193 reviews",$$ - $$$|Belgian|European|Vegetarian Friendly,"Korenmarkt 10, Ghent 9000 Belgium",+32 9 225 17 16,http://www.duprogres.be/,,True,info@duprogres.be,True,False,4.5,4.5,4.5,4.0,"Restaurant Du Progres is a real family restaurant. Nowadays, the third generation of the family De Baets commits to giving their clientele the best value for money. The restaurant serves unadulterated Belgian classics and is famous for its mashed potatoes, honest tastes and the unsurpassed price/quality ratio. We accept: visa, mastercard, amex, bancontact, sodexocard, Monizze","Restaurant Du Progres is een écht familierestaurant. Ondertussen zet reeds de derde generatie van de familie De Baets zich in om zijn cliënteel juist dat ietsje meer voor zijn geld te geven. Het restaurant serveert onvervalste Belgische klassiekers en is beroemd om zijn puree, eerlijke smaken en de onovertroffen prijs-kwaliteitsverhouding. Wij aanvaarden: visa, mastercard, amex, bancontact, sodexocard, Monizze",€22 - €29,"Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",814598
#17,Paul's Boutique,4.5 of 5 bubbles,290 reviews,$|Grill|Street Food|Vegan Options,"Koningin Astridlaan 209, Ghent 9000 Belgium",+32 9 335 09 47,http://www.paulsboutiquegent.be/,https://www.paulsboutiquegent.be/menu/,True,info@paulsboutiquegent.be,False,False,4.5,4.5,4.5,4.0,At Paul's Boutique you'll find tasty beefburgers and veggieburgers with customized sauces and carefully selected vegetables. Each burger is unique at Paul's Boutique.,"Zoveel meer dan een gewone hamburgertent. Een sfeervolle zaak met heerlijke verse hamburgers, maar ook creatief en rijkelijk belegde ciabatta’s. De versheid van de ingrediënten zorgt voor hoog kwaliteitsvolle producten! Vegetarisch? No biggie, ook jij eet er je buikje van rond met ons uitgebreid aanbod.",€5 - €12,"Grill, Street Food",Vegan Options,"Lunch, Dinner","Outdoor Seating, Seating, Street Parking, Serves Alcohol, Digital Payments, Takeout, Table Service, Accepts Credit Cards",7214432
#18,Seli's Noodlebar,4.5 of 5 bubbles,793 reviews,$$ - $$$|Healthy|Street Food|Hong Kong,"Limburgstraat 28 Oost Vlaanderen, Ghent 9000 Belgium",+32 9 223 58 88,http://www.selinoodlebar.be/,http://www.selinoodlebar.be/,True,seli.noodlebar@gmail.com,True,False,4.5,4.5,4.5,4.0,Small local familyrestaurant with open kitchen. The speciality are our handmade noodles. Possible to eat them in a plate or in a soup. Nice cooked and fried rice corner. Price quality product! Your satisfaction is our goal.,"Klein familiale restaurant. Gelegen naast de St Baafskathedraal in het centrum van Gent. Onze specialiteit voor u zijn onze handgemaakte noodles. Ons artisanale keuken biedt u dagverse kwaliteit aan. Prijs / kwaliteit streven wij er na uw bezoek zo aangenaam mogelijk te laten genieten van de chinese keuken. Ontdek ook onze dimsuns , rijstschotels, rijstnoedels. Dit kan u uw laten smaken met een lekker Belgisch biertje.",€4 - €15,"Healthy, Street Food","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Delivery, Outdoor Seating, Full Bar, Takeout, Reservations, Seating, Highchairs Available, Serves Alcohol, Wine and Beer, Free Wifi, Table Service, Digital Payments, Family style, Gift Cards Available",6578428
#19,Gillis,4.5 of 5 bubbles,428 reviews,$$ - $$$|Steakhouse|Belgian|Barbecue,"Hoogstraat 23, Ghent 9000 Belgium",+32 9 391 66 11,http://www.gillisgent.be/,https://www.gillisgent.be/,True,info@gillisgent.be,True,False,4.5,4.5,4.0,4.5,"The concept of Gillis was straightforward from the beginning: eat great meat, and drink great wine. Together with his father, Bram mixed in all of his passions: butcher skills, Italian wine, hospitality, and (most precious of all) family values. Gillis was meant to be a home, rather than a steakhouse. Now, it truly is. In 2020, Bram met Jozefien, the woman he’s going to marry one day soon. And ever since, they’ve been working side-by-side at Gillis, alongside chef “Grill” Olivier. “We’re running the place as we want to, we’re cutting the crap. And it resonates with people who belong here.” That’s why the writing on the restaurant fireplace reads “Eat great meat and drink great wine, or go home!"" You know it. See you at Gillis.","Restaurant Gillis is the place-to-be in Gent voor de échte vleesliefhebber. Onze chef serveert het beste gerijpt vlees uit België, Frankrijk, Spanje, Italië, … Puur vlees. Puur genieten. Het Gillis team verwelkomt u graag in de Hoogstraat 23 te Gent.",€60 - €200,"Steakhouse, Belgian, European, Barbecue, Grill",,Dinner,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Digital Payments, Dog Friendly, Gift Cards Available",6878996
#20,Publiek,4.5 of 5 bubbles,356 reviews,$$$$|French|Belgian|European,"Ham 39, Ghent 9000 Belgium",+32 9 330 04 86,http://www.publiekgent.be/,,True,info@publiekgent.be,False,True,4.5,4.5,4.5,4.5,,,No pricing available,"French, Belgian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner","Reservations, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",6412828
#21,Aroma,4.5 of 5 bubbles,331 reviews,$$ - $$$|Steakhouse|Belgian|European,"Donkersteeg 9, Ghent 9000 Belgium",+32 9 225 14 89,http://www.aroma-steakhouse.be/,http://www.aroma-steakhouse.be/,True,,True,False,4.5,4.5,4.5,4.5,"Incredible, small family-run restaurant.",,€19 - €35,"Steakhouse, Belgian, European",Gluten Free Options,"Lunch, Dinner","Reservations, Seating, Highchairs Available, Serves Alcohol, Accepts Credit Cards, Table Service",1757529
#22,Passion,4.5 of 5 bubbles,354 reviews,$$ - $$$|Belgian|Dutch|International,"Emile Braunplein 1, Ghent 9000 Belgium",+32 9 225 68 86,http://www.resto-passion.be/,,True,,False,False,4.5,4.5,4.0,4.0,friendly welcome and worth trying out the Flemish dishes. Reasonable value.,,No pricing available,"Belgian, Dutch, European, International","Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch, Late Night","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",1751252
#1,Papinglo,4.5 of 5 bubbles,181 reviews,$$ - $$$|Belgian|Dutch|International,"Kleitkalseide 193, Maldegem 9990 Belgium",+32 476 51 44 86,http://www.restaurant-papinglo.be/,http://www.restaurant-papinglo.be/nl/menu,True,jens.43@hotmail.com,True,False,4.5,4.5,4.0,4.0,,,€14 - €40,"Belgian, European, Dutch, International","Vegetarian Friendly, Gluten Free Options","Lunch, Dinner","Outdoor Seating, Seating, Parking Available, Free off-street parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Accepts Credit Cards, Table Service, Private Dining",3595923
#1,Restaurant Wilford T,4.5 of 5 bubbles,163 reviews,$$$$|Belgian|Seafood|European,"Wilfordkaai 10, Temse 9140 Belgium",+32 472 69 54 69,http://www.restaurant-wilfordt.be/,http://www.restaurant-wilfordt.be/#menu,False,info@restaurant-wilfordt.be,False,True,4.5,4.5,4.5,-1.0,,,No pricing available,"Belgian, Seafood, European","Gluten Free Options, Vegetarian Friendly","Lunch, Dinner","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",10464254
#23,Otium Cucina Italiana,4.5 of 5 bubbles,422 reviews,$$ - $$$|Italian|Seafood|Mediterranean,"Ajuinlei 16, Ghent 9000 Belgium",+32 9 256 43 05,http://otium.gent/,https://otium.gent/degustazione,True,otium.gent@gmail.com,True,False,4.5,4.5,4.0,-1.0,,,€20 - €58,"Italian, Seafood, Mediterranean, European, Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service",12233896
